case,n,m,family,seed,configuration,macs,weight_density,kernel_words,kernel_sha256,input_words,cycles,cold,fetch,memory,wait,setup,scalar,retired,outputs
n8_m1_small_s1731_software,8,1,small,1731,software,8,1.0,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1680,1876,560,640,0,0,480,560,1
n8_m1_small_s1731_iterative_staged,8,1,small,1731,iterative_staged,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_small_s1731_iterative_fused,8,1,small,1731,iterative_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_small_s1731_parallel_fused,8,1,small,1731,parallel_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_full_s1729_software,8,1,full,1729,software,8,1.0,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1560,1756,520,580,0,0,460,520,1
n8_m1_full_s1729_iterative_staged,8,1,full,1729,iterative_staged,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_full_s1729_iterative_fused,8,1,full,1729,iterative_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_full_s1729_parallel_fused,8,1,full,1729,parallel_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_full_s1730_software,8,1,full,1730,software,8,1.0,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1596,1792,532,598,0,0,466,532,1
n8_m1_full_s1730_iterative_staged,8,1,full,1730,iterative_staged,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_full_s1730_iterative_fused,8,1,full,1730,iterative_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_full_s1730_parallel_fused,8,1,full,1730,parallel_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_full_s1731_software,8,1,full,1731,software,8,1.0,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1536,1732,512,568,0,0,456,512,1
n8_m1_full_s1731_iterative_staged,8,1,full,1731,iterative_staged,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_full_s1731_iterative_fused,8,1,full,1731,iterative_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_full_s1731_parallel_fused,8,1,full,1731,parallel_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_extrema_s1729_software,8,1,extrema,1729,software,8,1.0,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1596,1792,532,598,0,0,466,532,1
n8_m1_extrema_s1729_iterative_staged,8,1,extrema,1729,iterative_staged,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
